SOURCE_WELL,DESTINATION_WELL,TRANSFER_VOLUME,DESTINATION_PLATE
P01,K23,31.25,dest_plate_1
P21,K23,6.25,dest_plate_1
P22,K23,6.25,dest_plate_1
E01,M01,31.25,dest_plate_1
P01,M01,31.25,dest_plate_1
P21,M01,6.25,dest_plate_1
P22,M01,6.25,dest_plate_1
E03,M03,31.25,dest_plate_1
P01,M03,31.25,dest_plate_1
P21,M03,6.25,dest_plate_1
P22,M03,6.25,dest_plate_1
E05,M05,31.25,dest_plate_1
P01,M05,31.25,dest_plate_1
P21,M05,6.25,dest_plate_1
P22,M05,6.25,dest_plate_1
E07,M07,31.25,dest_plate_1
P01,M07,31.25,dest_plate_1
P21,M07,6.25,dest_plate_1
P22,M07,6.25,dest_plate_1
E09,M09,31.25,dest_plate_1
P01,M09,31.25,dest_plate_1
P21,M09,6.25,dest_plate_1
P22,M09,6.25,dest_plate_1
E11,M11,31.25,dest_plate_1
P01,M11,31.25,dest_plate_1
P21,M11,6.25,dest_plate_1
P22,M11,6.25,dest_plate_1
E13,M13,31.25,dest_plate_1
P01,M13,31.25,dest_plate_1
P21,M13,6.25,dest_plate_1
P22,M13,6.25,dest_plate_1
E15,M15,31.25,dest_plate_1
P01,M15,31.25,dest_plate_1
P21,M15,6.25,dest_plate_1
P22,M15,6.25,dest_plate_1
E17,M17,31.25,dest_plate_1
P01,M17,31.25,dest_plate_1
P21,M17,6.25,dest_plate_1
P22,M17,6.25,dest_plate_1
E19,M19,31.25,dest_plate_1
P01,M19,31.25,dest_plate_1
P21,M19,6.25,dest_plate_1
P22,M19,6.25,dest_plate_1
E21,M21,31.25,dest_plate_1
P01,M21,31.25,dest_plate_1
P21,M21,6.25,dest_plate_1
P22,M21,6.25,dest_plate_1
E23,M23,31.25,dest_plate_1
P01,M23,31.25,dest_plate_1
P21,M23,6.25,dest_plate_1
P22,M23,6.25,dest_plate_1
G01,O01,31.25,dest_plate_1
P01,O01,31.25,dest_plate_1
P21,O01,6.25,dest_plate_1
P22,O01,6.25,dest_plate_1
G03,O03,31.25,dest_plate_1
P01,O03,31.25,dest_plate_1
P21,O03,6.25,dest_plate_1
P22,O03,6.25,dest_plate_1
G05,O05,31.25,dest_plate_1
P01,O05,31.25,dest_plate_1
P21,O05,6.25,dest_plate_1
P22,O05,6.25,dest_plate_1
G07,O07,31.25,dest_plate_1
P01,O07,31.25,dest_plate_1
P21,O07,6.25,dest_plate_1
P22,O07,6.25,dest_plate_1
G09,O09,31.25,dest_plate_1
P01,O09,31.25,dest_plate_1
P21,O09,6.25,dest_plate_1
P22,O09,6.25,dest_plate_1
G11,O11,31.25,dest_plate_1
P01,O11,31.25,dest_plate_1
P21,O11,6.25,dest_plate_1
P22,O11,6.25,dest_plate_1
G13,O13,31.25,dest_plate_1
P01,O13,31.25,dest_plate_1
P21,O13,6.25,dest_plate_1
P22,O13,6.25,dest_plate_1
G15,O15,31.25,dest_plate_1
P01,O15,31.25,dest_plate_1
P21,O15,6.25,dest_plate_1
P22,O15,6.25,dest_plate_1
G17,O17,31.25,dest_plate_1
P01,O17,31.25,dest_plate_1
P21,O17,6.25,dest_plate_1
P22,O17,6.25,dest_plate_1
G19,O19,31.25,dest_plate_1
P01,O19,31.25,dest_plate_1
P21,O19,6.25,dest_plate_1
P22,O19,6.25,dest_plate_1
G21,O21,31.25,dest_plate_1
P01,O21,31.25,dest_plate_1
P21,O21,6.25,dest_plate_1
P22,O21,6.25,dest_plate_1
G23,O23,31.25,dest_plate_1
P01,O23,31.25,dest_plate_1
P21,O23,6.25,dest_plate_1
P22,O23,6.25,dest_plate_1
A01,A01,31.25,dest_plate_1
P02,A01,31.25,dest_plate_1
P19,A01,6.25,dest_plate_1
P20,A01,6.25,dest_plate_1
A03,A03,31.25,dest_plate_1
P02,A03,31.25,dest_plate_1
P19,A03,6.25,dest_plate_1
P20,A03,6.25,dest_plate_1
A05,A05,31.25,dest_plate_1
P02,A05,31.25,dest_plate_1
P19,A05,6.25,dest_plate_1
P20,A05,6.25,dest_plate_1
A07,A07,31.25,dest_plate_1
P02,A07,31.25,dest_plate_1
P19,A07,6.25,dest_plate_1
P20,A07,6.25,dest_plate_1
A09,A09,31.25,dest_plate_1
P02,A09,31.25,dest_plate_1
P19,A09,6.25,dest_plate_1
P20,A09,6.25,dest_plate_1
A11,A11,31.25,dest_plate_1
P02,A11,31.25,dest_plate_1
P19,A11,6.25,dest_plate_1
P20,A11,6.25,dest_plate_1
A13,A13,31.25,dest_plate_1
P02,A13,31.25,dest_plate_1
P19,A13,6.25,dest_plate_1
P20,A13,6.25,dest_plate_1
A15,A15,31.25,dest_plate_1
P02,A15,31.25,dest_plate_1
P19,A15,6.25,dest_plate_1
P20,A15,6.25,dest_plate_1
A17,A17,31.25,dest_plate_1
P02,A17,31.25,dest_plate_1
P19,A17,6.25,dest_plate_1
P20,A17,6.25,dest_plate_1
A19,A19,31.25,dest_plate_1
P02,A19,31.25,dest_plate_1
P19,A19,6.25,dest_plate_1
P20,A19,6.25,dest_plate_1
A21,A21,31.25,dest_plate_1
P02,A21,31.25,dest_plate_1
P19,A21,6.25,dest_plate_1
P20,A21,6.25,dest_plate_1
A23,A23,31.25,dest_plate_1
P02,A23,31.25,dest_plate_1
P19,A23,6.25,dest_plate_1
P20,A23,6.25,dest_plate_1
C01,C01,31.25,dest_plate_1
P02,C01,31.25,dest_plate_1
P19,C01,6.25,dest_plate_1
P20,C01,6.25,dest_plate_1
C03,C03,31.25,dest_plate_1
P02,C03,31.25,dest_plate_1
P19,C03,6.25,dest_plate_1
P20,C03,6.25,dest_plate_1
C05,C05,31.25,dest_plate_1
P02,C05,31.25,dest_plate_1
P19,C05,6.25,dest_plate_1
P20,C05,6.25,dest_plate_1
C07,C07,31.25,dest_plate_1
P02,C07,31.25,dest_plate_1
P19,C07,6.25,dest_plate_1
P20,C07,6.25,dest_plate_1
C09,C09,31.25,dest_plate_1
P02,C09,31.25,dest_plate_1
P19,C09,6.25,dest_plate_1
P20,C09,6.25,dest_plate_1
C11,C11,31.25,dest_plate_1
P02,C11,31.25,dest_plate_1
P19,C11,6.25,dest_plate_1
P20,C11,6.25,dest_plate_1
C13,C13,31.25,dest_plate_1
P02,C13,31.25,dest_plate_1
P19,C13,6.25,dest_plate_1
P20,C13,6.25,dest_plate_1
C15,C15,31.25,dest_plate_1
P02,C15,31.25,dest_plate_1
P19,C15,6.25,dest_plate_1
P20,C15,6.25,dest_plate_1
C17,C17,31.25,dest_plate_1
P02,C17,31.25,dest_plate_1
P19,C17,6.25,dest_plate_1
P20,C17,6.25,dest_plate_1
C19,C19,31.25,dest_plate_1
P02,C19,31.25,dest_plate_1
P19,C19,6.25,dest_plate_1
P20,C19,6.25,dest_plate_1
C21,C21,31.25,dest_plate_1
P02,C21,31.25,dest_plate_1
P19,C21,6.25,dest_plate_1
P20,C21,6.25,dest_plate_1
C23,C23,31.25,dest_plate_1
P02,C23,31.25,dest_plate_1
P19,C23,6.25,dest_plate_1
P20,C23,6.25,dest_plate_1
E01,E01,31.25,dest_plate_1
P02,E01,31.25,dest_plate_1
P19,E01,6.25,dest_plate_1
P20,E01,6.25,dest_plate_1
E03,E03,31.25,dest_plate_1
P02,E03,31.25,dest_plate_1
P19,E03,6.25,dest_plate_1
P20,E03,6.25,dest_plate_1
E05,E05,31.25,dest_plate_1
P02,E05,31.25,dest_plate_1
P19,E05,6.25,dest_plate_1
P20,E05,6.25,dest_plate_1
E07,E07,31.25,dest_plate_1
P02,E07,31.25,dest_plate_1
P19,E07,6.25,dest_plate_1
P20,E07,6.25,dest_plate_1
E09,E09,31.25,dest_plate_1
P02,E09,31.25,dest_plate_1
P19,E09,6.25,dest_plate_1
P20,E09,6.25,dest_plate_1
E11,E11,31.25,dest_plate_1
P02,E11,31.25,dest_plate_1
P19,E11,6.25,dest_plate_1
P20,E11,6.25,dest_plate_1
E13,E13,31.25,dest_plate_1
P02,E13,31.25,dest_plate_1
P19,E13,6.25,dest_plate_1
P20,E13,6.25,dest_plate_1
E15,E15,31.25,dest_plate_1
P02,E15,31.25,dest_plate_1
P19,E15,6.25,dest_plate_1
P20,E15,6.25,dest_plate_1
E17,E17,31.25,dest_plate_1
P02,E17,31.25,dest_plate_1
P19,E17,6.25,dest_plate_1
P20,E17,6.25,dest_plate_1
E19,E19,31.25,dest_plate_1
P02,E19,31.25,dest_plate_1
P19,E19,6.25,dest_plate_1
P20,E19,6.25,dest_plate_1
E21,E21,31.25,dest_plate_1
P02,E21,31.25,dest_plate_1
P19,E21,6.25,dest_plate_1
P20,E21,6.25,dest_plate_1
E23,E23,31.25,dest_plate_1
P02,E23,31.25,dest_plate_1
P19,E23,6.25,dest_plate_1
P20,E23,6.25,dest_plate_1
G01,G01,31.25,dest_plate_1
P02,G01,31.25,dest_plate_1
P19,G01,6.25,dest_plate_1
P20,G01,6.25,dest_plate_1
G03,G03,31.25,dest_plate_1
P02,G03,31.25,dest_plate_1
P19,G03,6.25,dest_plate_1
P20,G03,6.25,dest_plate_1
G05,G05,31.25,dest_plate_1
P02,G05,31.25,dest_plate_1
P19,G05,6.25,dest_plate_1
P20,G05,6.25,dest_plate_1
G07,G07,31.25,dest_plate_1
P02,G07,31.25,dest_plate_1
P19,G07,6.25,dest_plate_1
P20,G07,6.25,dest_plate_1
G09,G09,31.25,dest_plate_1
P02,G09,31.25,dest_plate_1
P19,G09,6.25,dest_plate_1
P20,G09,6.25,dest_plate_1
G11,G11,31.25,dest_plate_1
P02,G11,31.25,dest_plate_1
P19,G11,6.25,dest_plate_1
P20,G11,6.25,dest_plate_1
G13,G13,31.25,dest_plate_1
P02,G13,31.25,dest_plate_1
P19,G13,6.25,dest_plate_1
P20,G13,6.25,dest_plate_1
G15,G15,31.25,dest_plate_1
P02,G15,31.25,dest_plate_1
P19,G15,6.25,dest_plate_1
P20,G15,6.25,dest_plate_1
G17,G17,31.25,dest_plate_1
P02,G17,31.25,dest_plate_1
P19,G17,6.25,dest_plate_1
P20,G17,6.25,dest_plate_1
G19,G19,31.25,dest_plate_1
P02,G19,31.25,dest_plate_1
P19,G19,6.25,dest_plate_1
P20,G19,6.25,dest_plate_1
G21,G21,31.25,dest_plate_1
P02,G21,31.25,dest_plate_1
P19,G21,6.25,dest_plate_1
P20,G21,6.25,dest_plate_1
G23,G23,31.25,dest_plate_1
P02,G23,31.25,dest_plate_1
P19,G23,6.25,dest_plate_1
P20,G23,6.25,dest_plate_1
A01,A02,31.25,dest_plate_1
P03,A02,31.25,dest_plate_1
P23,A02,6.25,dest_plate_1
P24,A02,6.25,dest_plate_1
A03,A04,31.25,dest_plate_1
P03,A04,31.25,dest_plate_1
P23,A04,6.25,dest_plate_1
P24,A04,6.25,dest_plate_1
A05,A06,31.25,dest_plate_1
P03,A06,31.25,dest_plate_1
P23,A06,6.25,dest_plate_1
P24,A06,6.25,dest_plate_1
A07,A08,31.25,dest_plate_1
P03,A08,31.25,dest_plate_1
P23,A08,6.25,dest_plate_1
P24,A08,6.25,dest_plate_1
A09,A10,31.25,dest_plate_1
P03,A10,31.25,dest_plate_1
P23,A10,6.25,dest_plate_1
P24,A10,6.25,dest_plate_1
A11,A12,31.25,dest_plate_1
P03,A12,31.25,dest_plate_1
P23,A12,6.25,dest_plate_1
P24,A12,6.25,dest_plate_1
A13,A14,31.25,dest_plate_1
P03,A14,31.25,dest_plate_1
P23,A14,6.25,dest_plate_1
P24,A14,6.25,dest_plate_1
A15,A16,31.25,dest_plate_1
P03,A16,31.25,dest_plate_1
P23,A16,6.25,dest_plate_1
P24,A16,6.25,dest_plate_1
A17,A18,31.25,dest_plate_1
P03,A18,31.25,dest_plate_1
P23,A18,6.25,dest_plate_1
P24,A18,6.25,dest_plate_1
A19,A20,31.25,dest_plate_1
P03,A20,31.25,dest_plate_1
P23,A20,6.25,dest_plate_1
P24,A20,6.25,dest_plate_1
A21,A22,31.25,dest_plate_1
P03,A22,31.25,dest_plate_1
P23,A22,6.25,dest_plate_1
P24,A22,6.25,dest_plate_1
A23,A24,31.25,dest_plate_1
P03,A24,31.25,dest_plate_1
P23,A24,6.25,dest_plate_1
P24,A24,6.25,dest_plate_1
C01,C02,31.25,dest_plate_1
P03,C02,31.25,dest_plate_1
P23,C02,6.25,dest_plate_1
P24,C02,6.25,dest_plate_1
C03,C04,31.25,dest_plate_1
P03,C04,31.25,dest_plate_1
P23,C04,6.25,dest_plate_1
P24,C04,6.25,dest_plate_1
C05,C06,31.25,dest_plate_1
P03,C06,31.25,dest_plate_1
P23,C06,6.25,dest_plate_1
P24,C06,6.25,dest_plate_1
C07,C08,31.25,dest_plate_1
P03,C08,31.25,dest_plate_1
P23,C08,6.25,dest_plate_1
P24,C08,6.25,dest_plate_1
C09,C10,31.25,dest_plate_1
P03,C10,31.25,dest_plate_1
P23,C10,6.25,dest_plate_1
P24,C10,6.25,dest_plate_1
C11,C12,31.25,dest_plate_1
P03,C12,31.25,dest_plate_1
P23,C12,6.25,dest_plate_1
P24,C12,6.25,dest_plate_1
C13,C14,31.25,dest_plate_1
P03,C14,31.25,dest_plate_1
P23,C14,6.25,dest_plate_1
P24,C14,6.25,dest_plate_1
C15,C16,31.25,dest_plate_1
P03,C16,31.25,dest_plate_1
P23,C16,6.25,dest_plate_1
P24,C16,6.25,dest_plate_1
C17,C18,31.25,dest_plate_1
P03,C18,31.25,dest_plate_1
P23,C18,6.25,dest_plate_1
P24,C18,6.25,dest_plate_1
C19,C20,31.25,dest_plate_1
P03,C20,31.25,dest_plate_1
P23,C20,6.25,dest_plate_1
P24,C20,6.25,dest_plate_1
C21,C22,31.25,dest_plate_1
P03,C22,31.25,dest_plate_1
P23,C22,6.25,dest_plate_1
P24,C22,6.25,dest_plate_1
C23,C24,31.25,dest_plate_1
P03,C24,31.25,dest_plate_1
P23,C24,6.25,dest_plate_1
P24,C24,6.25,dest_plate_1
E01,E02,31.25,dest_plate_1
P03,E02,31.25,dest_plate_1
P23,E02,6.25,dest_plate_1
P24,E02,6.25,dest_plate_1
E03,E04,31.25,dest_plate_1
P03,E04,31.25,dest_plate_1
P23,E04,6.25,dest_plate_1
P24,E04,6.25,dest_plate_1
E05,E06,31.25,dest_plate_1
P03,E06,31.25,dest_plate_1
P23,E06,6.25,dest_plate_1
P24,E06,6.25,dest_plate_1
E07,E08,31.25,dest_plate_1
P03,E08,31.25,dest_plate_1
P23,E08,6.25,dest_plate_1
P24,E08,6.25,dest_plate_1
E09,E10,31.25,dest_plate_1
P03,E10,31.25,dest_plate_1
P23,E10,6.25,dest_plate_1
P24,E10,6.25,dest_plate_1
E11,E12,31.25,dest_plate_1
P03,E12,31.25,dest_plate_1
P23,E12,6.25,dest_plate_1
P24,E12,6.25,dest_plate_1
E13,E14,31.25,dest_plate_1
P03,E14,31.25,dest_plate_1
P23,E14,6.25,dest_plate_1
P24,E14,6.25,dest_plate_1
E15,E16,31.25,dest_plate_1
P03,E16,31.25,dest_plate_1
P23,E16,6.25,dest_plate_1
P24,E16,6.25,dest_plate_1
E17,E18,31.25,dest_plate_1
P03,E18,31.25,dest_plate_1
P23,E18,6.25,dest_plate_1
P24,E18,6.25,dest_plate_1
E19,E20,31.25,dest_plate_1
P03,E20,31.25,dest_plate_1
P23,E20,6.25,dest_plate_1
P24,E20,6.25,dest_plate_1
E21,E22,31.25,dest_plate_1
P03,E22,31.25,dest_plate_1
P23,E22,6.25,dest_plate_1
P24,E22,6.25,dest_plate_1
E23,E24,31.25,dest_plate_1
P03,E24,31.25,dest_plate_1
P23,E24,6.25,dest_plate_1
P24,E24,6.25,dest_plate_1
G01,G02,31.25,dest_plate_1
P03,G02,31.25,dest_plate_1
P23,G02,6.25,dest_plate_1
P24,G02,6.25,dest_plate_1
G03,G04,31.25,dest_plate_1
P03,G04,31.25,dest_plate_1
P23,G04,6.25,dest_plate_1
P24,G04,6.25,dest_plate_1
G05,G06,31.25,dest_plate_1
P03,G06,31.25,dest_plate_1
P23,G06,6.25,dest_plate_1
P24,G06,6.25,dest_plate_1
G07,G08,31.25,dest_plate_1
P03,G08,31.25,dest_plate_1
P23,G08,6.25,dest_plate_1
P24,G08,6.25,dest_plate_1
G09,G10,31.25,dest_plate_1
P03,G10,31.25,dest_plate_1
P23,G10,6.25,dest_plate_1
P24,G10,6.25,dest_plate_1
G11,G12,31.25,dest_plate_1
P03,G12,31.25,dest_plate_1
P23,G12,6.25,dest_plate_1
P24,G12,6.25,dest_plate_1
G13,G14,31.25,dest_plate_1
P03,G14,31.25,dest_plate_1
P23,G14,6.25,dest_plate_1
P24,G14,6.25,dest_plate_1
G15,G16,31.25,dest_plate_1
P03,G16,31.25,dest_plate_1
P23,G16,6.25,dest_plate_1
P24,G16,6.25,dest_plate_1
G17,G18,31.25,dest_plate_1
P03,G18,31.25,dest_plate_1
P23,G18,6.25,dest_plate_1
P24,G18,6.25,dest_plate_1
G19,G20,31.25,dest_plate_1
P03,G20,31.25,dest_plate_1
P23,G20,6.25,dest_plate_1
P24,G20,6.25,dest_plate_1
G21,G22,31.25,dest_plate_1
P03,G22,31.25,dest_plate_1
P23,G22,6.25,dest_plate_1
P24,G22,6.25,dest_plate_1
G23,G24,31.25,dest_plate_1
P03,G24,31.25,dest_plate_1
P23,G24,6.25,dest_plate_1
P24,G24,6.25,dest_plate_1
