SOURCE_WELL,DESTINATION_WELL,TRANSFER_VOLUME,DESTINATION_PLATE
A01,I01,31.25,dest_plate_1
P01,I01,31.25,dest_plate_1
P21,I01,6.25,dest_plate_1
P22,I01,6.25,dest_plate_1
A03,I03,31.25,dest_plate_1
P01,I03,31.25,dest_plate_1
P21,I03,6.25,dest_plate_1
P22,I03,6.25,dest_plate_1
A05,I05,31.25,dest_plate_1
P01,I05,31.25,dest_plate_1
P21,I05,6.25,dest_plate_1
P22,I05,6.25,dest_plate_1
A07,I07,31.25,dest_plate_1
P01,I07,31.25,dest_plate_1
P21,I07,6.25,dest_plate_1
P22,I07,6.25,dest_plate_1
A09,I09,31.25,dest_plate_1
P01,I09,31.25,dest_plate_1
P21,I09,6.25,dest_plate_1
P22,I09,6.25,dest_plate_1
A11,I11,31.25,dest_plate_1
P01,I11,31.25,dest_plate_1
P21,I11,6.25,dest_plate_1
P22,I11,6.25,dest_plate_1
A13,I13,31.25,dest_plate_1
P01,I13,31.25,dest_plate_1
P21,I13,6.25,dest_plate_1
P22,I13,6.25,dest_plate_1
A15,I15,31.25,dest_plate_1
P01,I15,31.25,dest_plate_1
P21,I15,6.25,dest_plate_1
P22,I15,6.25,dest_plate_1
A17,I17,31.25,dest_plate_1
P01,I17,31.25,dest_plate_1
P21,I17,6.25,dest_plate_1
P22,I17,6.25,dest_plate_1
A19,I19,31.25,dest_plate_1
P01,I19,31.25,dest_plate_1
P21,I19,6.25,dest_plate_1
P22,I19,6.25,dest_plate_1
A21,I21,31.25,dest_plate_1
P01,I21,31.25,dest_plate_1
P21,I21,6.25,dest_plate_1
P22,I21,6.25,dest_plate_1
A23,I23,31.25,dest_plate_1
P01,I23,31.25,dest_plate_1
P21,I23,6.25,dest_plate_1
P22,I23,6.25,dest_plate_1
C01,K01,31.25,dest_plate_1
P01,K01,31.25,dest_plate_1
P21,K01,6.25,dest_plate_1
P22,K01,6.25,dest_plate_1
C03,K03,31.25,dest_plate_1
P01,K03,31.25,dest_plate_1
P21,K03,6.25,dest_plate_1
P22,K03,6.25,dest_plate_1
C05,K05,31.25,dest_plate_1
P01,K05,31.25,dest_plate_1
P21,K05,6.25,dest_plate_1
P22,K05,6.25,dest_plate_1
C07,K07,31.25,dest_plate_1
P01,K07,31.25,dest_plate_1
P21,K07,6.25,dest_plate_1
P22,K07,6.25,dest_plate_1
C09,K09,31.25,dest_plate_1
P01,K09,31.25,dest_plate_1
P21,K09,6.25,dest_plate_1
P22,K09,6.25,dest_plate_1
C11,K11,31.25,dest_plate_1
P01,K11,31.25,dest_plate_1
P21,K11,6.25,dest_plate_1
P22,K11,6.25,dest_plate_1
C13,K13,31.25,dest_plate_1
P01,K13,31.25,dest_plate_1
P21,K13,6.25,dest_plate_1
P22,K13,6.25,dest_plate_1
C15,K15,31.25,dest_plate_1
P01,K15,31.25,dest_plate_1
P21,K15,6.25,dest_plate_1
P22,K15,6.25,dest_plate_1
C17,K17,31.25,dest_plate_1
P01,K17,31.25,dest_plate_1
P21,K17,6.25,dest_plate_1
P22,K17,6.25,dest_plate_1
C19,K19,31.25,dest_plate_1
P01,K19,31.25,dest_plate_1
P21,K19,6.25,dest_plate_1
P22,K19,6.25,dest_plate_1
C21,K21,31.25,dest_plate_1
P01,K21,31.25,dest_plate_1
P21,K21,6.25,dest_plate_1
P22,K21,6.25,dest_plate_1
C23,K23,31.25,dest_plate_1
