Well Location,Sample Name
A1,Oligo_GAH_DBAT_R2_take2_0029
A3,Oligo_GAH_DBAT_R2_take2_0027
A5,Oligo_GAH_DBAT_R2_take2_0020
A7,Oligo_AP_OplR_R2_random_0001
A9,Oligo_GAH_DBAT_R2_take2_0005
A11,Oligo_GAH_DBAT_R2_take2_0010
A13,Oligo_GAH_DBAT_R2_take2_0015
A15,Oligo_GAH_DBAT_R2_take2_0008
A17,Oligo_GAH_DBAT_R2_take2_0018
A19,Oligo_GAH_DBAT_R2_take2_0025
A21,Oligo_GAH_DBAT_R2_take2_0023
A23,Oligo_GAH_DBAT_R2_take2_0003
C1,Oligo_GAH_DBAT_R2_take2_0001
C3,Oligo_GAH_DBAT_R2_take2_0012
C5,Oligo_AP_OplR_R2_random_0036
C7,Oligo_AP_OplR_R2_random_0010
C9,Oligo_AP_OplR_R2_random_0024
C11,Oligo_AP_OplR_R2_random_0028
C13,Oligo_AP_OplR_R2_random_0006
C15,Oligo_AP_OplR_R2_random_0008
C17,Oligo_AP_OplR_R2_random_0014
C19,Oligo_AP_OplR_R2_random_0016
C21,Oligo_AP_OplR_R2_random_0018
C23,Oligo_AP_OplR_R2_random_0020
E1,Oligo_AP_OplR_R2_random_0026
E3,Oligo_AP_OplR_R2_random_0030
E5,Oligo_AP_OplR_R2_random_0032
E7,Oligo_AP_OplR_R2_random_0034
E9,Oligo_AP_OplR_R2_random_0038
E11,Oligo_AP_OplR_R2_random_0040
E13,Oligo_AP_OplR_R2_random_0042
E15,Oligo_AP_OplR_R2_random_0044
E17,Oligo_AP_OplR_R2_random_0048
E19,Oligo_AP_OplR_R2_random_0050
E21,Oligo_AP_OplR_R2_random_0003
E23,Oligo_AP_OplR_R2_random_0012
G1,Oligo_AP_OplR_R2_random_0022
G3,Oligo_AP_OplR_R2_random_0046
G5,Oligo_0014
G7,Oligo_0008
G9,Oligo_AP_OplR_R2_random_0005
G11,Oligo_AP_OplR_R2_random_0021
G13,Oligo_GAH_DBAT_R2_take2_0004
G15,Oligo_GAH_DBAT_R2_take2_0011
G17,Oligo_AP_OplR_R2_random_0039
G19,Oligo_GAH_DBAT_R2_take2_0024
G21,Oligo_AP_OplR_R2_random_0031
G23,Oligo_GAH_DBAT_R2_take2_0026
I1,Oligo_GAH_DBAT_R2_take2_0007
I3,Oligo_AP_OplR_R2_random_0011
I5,Oligo_GAH_DBAT_R2_take2_0016
I7,Oligo_GAH_DBAT_R2_take2_0006
I9,Oligo_AP_OplR_R2_random_0029
I11,Oligo_AP_OplR_R2_random_0017
I13,Oligo_AP_OplR_R2_random_0041
I15,Oligo_GAH_DBAT_R2_take2_0028
I17,Oligo_AP_OplR_R2_random_0045
I19,Oligo_GAH_DBAT_R2_take2_0017
I21,Oligo_AP_OplR_R2_random_0009
I23,Oligo_AP_OplR_R2_random_0007
K1,Oligo_AP_OplR_R2_random_0043
K3,Oligo_AP_OplR_R2_random_0013
K5,Oligo_AP_OplR_R2_random_0023
K7,Oligo_AP_OplR_R2_random_0049
K9,Oligo_GAH_DBAT_R2_take2_0009
K11,Oligo_GAH_DBAT_R2_take2_0019
K13,Oligo_AP_OplR_R2_random_0047
K15,Oligo_AP_OplR_R2_random_0025
K17,Oligo_AP_OplR_R2_random_0019
K19,Oligo_AP_OplR_R2_random_0033
K21,Oligo_AP_OplR_R2_random_0037
K23,Oligo_AP_OplR_R2_random_0015
M1,Oligo_AP_OplR_R2_random_0002
M3,Oligo_AP_OplR_R2_random_0027
M5,Oligo_GAH_DBAT_R2_take2_0014
M7,Oligo_AP_OplR_R2_random_0035
M9,Oligo_GAH_DBAT_R2_take2_0002
M11,Oligo_GAH_DBAT_R2_take2_0022
M13,Oligo_AP_OplR_R2_random_0004
