source_plate,source_well,dest_plate,dest_well,volume
r3_oligos_combined,C19,r3_pcrs_p1,A1,60
r3_oligos_combined,C10,r3_pcrs_p1,A1,60
template_plate,A6,r3_pcrs_p1,A1,60
r3_oligos_combined,C21,r3_pcrs_p1,C1,60
random_oligo_plate,M13,r3_pcrs_p1,C1,60
template_plate,A6,r3_pcrs_p1,C1,60
r3_oligos_combined,C19,r3_pcrs_p1,A2,60
r3_oligos_combined,C12,r3_pcrs_p1,A2,60
template_plate,A4,r3_pcrs_p1,A2,60
r3_oligos_combined,C23,r3_pcrs_p1,C2,60
random_oligo_plate,M13,r3_pcrs_p1,C2,60
template_plate,A4,r3_pcrs_p1,C2,60
r3_oligos_combined,C19,r3_pcrs_p1,A3,60
r3_oligos_combined,C14,r3_pcrs_p1,A3,60
template_plate,A6,r3_pcrs_p1,A3,60
r3_oligos_combined,E01,r3_pcrs_p1,C3,60
random_oligo_plate,M13,r3_pcrs_p1,C3,60
template_plate,A6,r3_pcrs_p1,C3,60
r3_oligos_combined,C19,r3_pcrs_p1,A4,60
r3_oligos_combined,C14,r3_pcrs_p1,A4,60
template_plate,A6,r3_pcrs_p1,A4,60
r3_oligos_combined,E03,r3_pcrs_p1,C4,60
random_oligo_plate,M13,r3_pcrs_p1,C4,60
template_plate,A6,r3_pcrs_p1,C4,60
r3_oligos_combined,C19,r3_pcrs_p1,A5,60
r3_oligos_combined,C16,r3_pcrs_p1,A5,60
template_plate,A6,r3_pcrs_p1,A5,60
r3_oligos_combined,E05,r3_pcrs_p1,C5,60
random_oligo_plate,M13,r3_pcrs_p1,C5,60
template_plate,A6,r3_pcrs_p1,C5,60
r3_oligos_combined,C19,r3_pcrs_p1,A6,60
r3_oligos_combined,C16,r3_pcrs_p1,A6,60
template_plate,A6,r3_pcrs_p1,A6,60
r3_oligos_combined,E05,r3_pcrs_p1,C6,60
random_oligo_plate,M13,r3_pcrs_p1,C6,60
template_plate,A7,r3_pcrs_p1,C6,60
r3_oligos_combined,C19,r3_pcrs_p1,A7,60
r3_oligos_combined,C16,r3_pcrs_p1,A7,60
template_plate,A6,r3_pcrs_p1,A7,60
r3_oligos_combined,E07,r3_pcrs_p1,C7,60
random_oligo_plate,M13,r3_pcrs_p1,C7,60
template_plate,A6,r3_pcrs_p1,C7,60
r3_oligos_combined,C19,r3_pcrs_p1,A8,60
r3_oligos_combined,C16,r3_pcrs_p1,A8,60
template_plate,A6,r3_pcrs_p1,A8,60
r3_oligos_combined,E09,r3_pcrs_p1,C8,60
random_oligo_plate,M13,r3_pcrs_p1,C8,60
template_plate,A6,r3_pcrs_p1,C8,60
r3_oligos_combined,C19,r3_pcrs_p1,A9,60
r3_oligos_combined,C16,r3_pcrs_p1,A9,60
template_plate,A6,r3_pcrs_p1,A9,60
r3_oligos_combined,E09,r3_pcrs_p1,C9,60
random_oligo_plate,M13,r3_pcrs_p1,C9,60
template_plate,A7,r3_pcrs_p1,C9,60
r3_oligos_combined,C19,r3_pcrs_p1,A10,60
r3_oligos_combined,C16,r3_pcrs_p1,A10,60
template_plate,A6,r3_pcrs_p1,A10,60
r3_oligos_combined,E11,r3_pcrs_p1,C10,60
random_oligo_plate,M13,r3_pcrs_p1,C10,60
template_plate,A6,r3_pcrs_p1,C10,60
r3_oligos_combined,C19,r3_pcrs_p1,A11,60
r3_oligos_combined,C18,r3_pcrs_p1,A11,60
template_plate,A6,r3_pcrs_p1,A11,60
r3_oligos_combined,E13,r3_pcrs_p1,C11,60
random_oligo_plate,M13,r3_pcrs_p1,C11,60
template_plate,A6,r3_pcrs_p1,C11,60
r3_oligos_combined,C19,r3_pcrs_p1,A12,60
r3_oligos_combined,C20,r3_pcrs_p1,A12,60
template_plate,A6,r3_pcrs_p1,A12,60
r3_oligos_combined,E15,r3_pcrs_p1,C12,60
random_oligo_plate,M13,r3_pcrs_p1,C12,60
template_plate,A6,r3_pcrs_p1,C12,60
r3_oligos_combined,C19,r3_pcrs_p1,B1,60
r3_oligos_combined,C12,r3_pcrs_p1,B1,60
template_plate,A6,r3_pcrs_p1,B1,60
r3_oligos_combined,C23,r3_pcrs_p1,D1,60
random_oligo_plate,M13,r3_pcrs_p1,D1,60
template_plate,A6,r3_pcrs_p1,D1,60
r3_oligos_combined,C19,r3_pcrs_p1,B2,60
r3_oligos_combined,C12,r3_pcrs_p1,B2,60
template_plate,A6,r3_pcrs_p1,B2,60
r3_oligos_combined,E17,r3_pcrs_p1,D2,60
random_oligo_plate,M13,r3_pcrs_p1,D2,60
template_plate,A6,r3_pcrs_p1,D2,60
r3_oligos_combined,C19,r3_pcrs_p1,B3,60
r3_oligos_combined,C22,r3_pcrs_p1,B3,60
template_plate,A6,r3_pcrs_p1,B3,60
r3_oligos_combined,E19,r3_pcrs_p1,D3,60
random_oligo_plate,M13,r3_pcrs_p1,D3,60
template_plate,A6,r3_pcrs_p1,D3,60
r3_oligos_combined,C19,r3_pcrs_p1,B4,60
r3_oligos_combined,C02,r3_pcrs_p1,B4,60
template_plate,A6,r3_pcrs_p1,B4,60
r3_oligos_combined,E21,r3_pcrs_p1,D4,60
random_oligo_plate,M13,r3_pcrs_p1,D4,60
template_plate,A7,r3_pcrs_p1,D4,60
r3_oligos_combined,C19,r3_pcrs_p1,B5,60
r3_oligos_combined,C02,r3_pcrs_p1,B5,60
template_plate,A6,r3_pcrs_p1,B5,60
r3_oligos_combined,E23,r3_pcrs_p1,D5,60
random_oligo_plate,M13,r3_pcrs_p1,D5,60
template_plate,A6,r3_pcrs_p1,D5,60
r3_oligos_combined,C19,r3_pcrs_p1,B6,60
r3_oligos_combined,C02,r3_pcrs_p1,B6,60
template_plate,A6,r3_pcrs_p1,B6,60
r3_oligos_combined,G01,r3_pcrs_p1,D6,60
random_oligo_plate,M13,r3_pcrs_p1,D6,60
template_plate,A6,r3_pcrs_p1,D6,60
r3_oligos_combined,C19,r3_pcrs_p1,B7,60
r3_oligos_combined,C02,r3_pcrs_p1,B7,60
template_plate,A6,r3_pcrs_p1,B7,60
r3_oligos_combined,G03,r3_pcrs_p1,D7,60
random_oligo_plate,M13,r3_pcrs_p1,D7,60
template_plate,A6,r3_pcrs_p1,D7,60
r3_oligos_combined,C19,r3_pcrs_p1,B8,60
r3_oligos_combined,C02,r3_pcrs_p1,B8,60
template_plate,A6,r3_pcrs_p1,B8,60
r3_oligos_combined,G05,r3_pcrs_p1,D8,60
random_oligo_plate,M13,r3_pcrs_p1,D8,60
template_plate,A6,r3_pcrs_p1,D8,60
r3_oligos_combined,C19,r3_pcrs_p1,B9,60
r3_oligos_combined,C02,r3_pcrs_p1,B9,60
template_plate,A6,r3_pcrs_p1,B9,60
r3_oligos_combined,G07,r3_pcrs_p1,D9,60
random_oligo_plate,M13,r3_pcrs_p1,D9,60
template_plate,A6,r3_pcrs_p1,D9,60
r3_oligos_combined,C19,r3_pcrs_p1,B10,60
r3_oligos_combined,C02,r3_pcrs_p1,B10,60
template_plate,A6,r3_pcrs_p1,B10,60
r3_oligos_combined,G09,r3_pcrs_p1,D10,60
random_oligo_plate,M13,r3_pcrs_p1,D10,60
template_plate,A6,r3_pcrs_p1,D10,60
r3_oligos_combined,C19,r3_pcrs_p1,B11,60
r3_oligos_combined,C02,r3_pcrs_p1,B11,60
template_plate,A6,r3_pcrs_p1,B11,60
r3_oligos_combined,G11,r3_pcrs_p1,D11,60
random_oligo_plate,M13,r3_pcrs_p1,D11,60
template_plate,A6,r3_pcrs_p1,D11,60
r3_oligos_combined,E21,r3_pcrs_p1,B12,60
random_oligo_plate,M13,r3_pcrs_p1,B12,60
template_plate,A7,r3_pcrs_p1,B12,60
r3_oligos_combined,C19,r3_pcrs_p1,D12,60
