source_plate,source_well,dest_plate,dest_well,volume
r3_oligos_combined,C02,r3_pcrs_p1,D12,60
template_plate,A7,r3_pcrs_p1,D12,60
r3_oligos_combined,A01,r3_pcrs_p1,E1,60
r3_oligos_combined,A10,r3_pcrs_p1,E1,60
template_plate,A8,r3_pcrs_p1,E1,60
r3_oligos_combined,A03,r3_pcrs_p1,G1,60
r3_oligos_combined,A12,r3_pcrs_p1,G1,60
template_plate,A8,r3_pcrs_p1,G1,60
r3_oligos_combined,A01,r3_pcrs_p1,E2,60
r3_oligos_combined,A14,r3_pcrs_p1,E2,60
template_plate,A8,r3_pcrs_p1,E2,60
r3_oligos_combined,A05,r3_pcrs_p1,G2,60
r3_oligos_combined,A12,r3_pcrs_p1,G2,60
template_plate,A8,r3_pcrs_p1,G2,60
r3_oligos_combined,A01,r3_pcrs_p1,E3,60
r3_oligos_combined,A16,r3_pcrs_p1,E3,60
template_plate,A8,r3_pcrs_p1,E3,60
r3_oligos_combined,A07,r3_pcrs_p1,G3,60
r3_oligos_combined,A12,r3_pcrs_p1,G3,60
template_plate,A8,r3_pcrs_p1,G3,60
r3_oligos_combined,A01,r3_pcrs_p1,E4,60
r3_oligos_combined,A18,r3_pcrs_p1,E4,60
template_plate,A8,r3_pcrs_p1,E4,60
r3_oligos_combined,A09,r3_pcrs_p1,G4,60
r3_oligos_combined,A12,r3_pcrs_p1,G4,60
template_plate,A8,r3_pcrs_p1,G4,60
r3_oligos_combined,A01,r3_pcrs_p1,E5,60
r3_oligos_combined,A20,r3_pcrs_p1,E5,60
template_plate,A5,r3_pcrs_p1,E5,60
r3_oligos_combined,A11,r3_pcrs_p1,G5,60
r3_oligos_combined,A12,r3_pcrs_p1,G5,60
template_plate,A5,r3_pcrs_p1,G5,60
r3_oligos_combined,A01,r3_pcrs_p1,E6,60
r3_oligos_combined,A20,r3_pcrs_p1,E6,60
template_plate,A5,r3_pcrs_p1,E6,60
r3_oligos_combined,A13,r3_pcrs_p1,G6,60
r3_oligos_combined,A12,r3_pcrs_p1,G6,60
template_plate,A5,r3_pcrs_p1,G6,60
r3_oligos_combined,A01,r3_pcrs_p1,E7,60
r3_oligos_combined,A22,r3_pcrs_p1,E7,60
template_plate,A5,r3_pcrs_p1,E7,60
r3_oligos_combined,A15,r3_pcrs_p1,G7,60
r3_oligos_combined,A12,r3_pcrs_p1,G7,60
template_plate,A5,r3_pcrs_p1,G7,60
r3_oligos_combined,A01,r3_pcrs_p1,E8,60
r3_oligos_combined,A24,r3_pcrs_p1,E8,60
template_plate,A5,r3_pcrs_p1,E8,60
r3_oligos_combined,A17,r3_pcrs_p1,G8,60
r3_oligos_combined,A12,r3_pcrs_p1,G8,60
template_plate,A8,r3_pcrs_p1,G8,60
r3_oligos_combined,A01,r3_pcrs_p1,E9,60
r3_oligos_combined,C02,r3_pcrs_p1,E9,60
template_plate,A5,r3_pcrs_p1,E9,60
r3_oligos_combined,A19,r3_pcrs_p1,G9,60
r3_oligos_combined,A12,r3_pcrs_p1,G9,60
template_plate,A8,r3_pcrs_p1,G9,60
r3_oligos_combined,A01,r3_pcrs_p1,E10,60
r3_oligos_combined,C02,r3_pcrs_p1,E10,60
template_plate,A5,r3_pcrs_p1,E10,60
r3_oligos_combined,A21,r3_pcrs_p1,G10,60
r3_oligos_combined,A12,r3_pcrs_p1,G10,60
template_plate,A8,r3_pcrs_p1,G10,60
r3_oligos_combined,A01,r3_pcrs_p1,E11,60
r3_oligos_combined,C02,r3_pcrs_p1,E11,60
template_plate,A5,r3_pcrs_p1,E11,60
r3_oligos_combined,A23,r3_pcrs_p1,G11,60
r3_oligos_combined,A12,r3_pcrs_p1,G11,60
template_plate,A8,r3_pcrs_p1,G11,60
r3_oligos_combined,A01,r3_pcrs_p1,E12,60
r3_oligos_combined,C02,r3_pcrs_p1,E12,60
template_plate,A5,r3_pcrs_p1,E12,60
r3_oligos_combined,C01,r3_pcrs_p1,G12,60
r3_oligos_combined,A12,r3_pcrs_p1,G12,60
template_plate,A5,r3_pcrs_p1,G12,60
r3_oligos_combined,A17,r3_pcrs_p1,F1,60
r3_oligos_combined,A12,r3_pcrs_p1,F1,60
template_plate,A8,r3_pcrs_p1,F1,60
r3_oligos_combined,A01,r3_pcrs_p1,H1,60
r3_oligos_combined,A24,r3_pcrs_p1,H1,60
template_plate,A8,r3_pcrs_p1,H1,60
r3_oligos_combined,A01,r3_pcrs_p1,F2,60
r3_oligos_combined,A24,r3_pcrs_p1,F2,60
template_plate,A8,r3_pcrs_p1,F2,60
r3_oligos_combined,C03,r3_pcrs_p1,H2,60
r3_oligos_combined,A12,r3_pcrs_p1,H2,60
template_plate,A8,r3_pcrs_p1,H2,60
r3_oligos_combined,A19,r3_pcrs_p1,F3,60
r3_oligos_combined,A12,r3_pcrs_p1,F3,60
template_plate,A8,r3_pcrs_p1,F3,60
r3_oligos_combined,A01,r3_pcrs_p1,H3,60
r3_oligos_combined,C02,r3_pcrs_p1,H3,60
template_plate,A8,r3_pcrs_p1,H3,60
r3_oligos_combined,A21,r3_pcrs_p1,F4,60
r3_oligos_combined,A12,r3_pcrs_p1,F4,60
template_plate,A8,r3_pcrs_p1,F4,60
r3_oligos_combined,A01,r3_pcrs_p1,H4,60
r3_oligos_combined,C02,r3_pcrs_p1,H4,60
template_plate,A8,r3_pcrs_p1,H4,60
r3_oligos_combined,A23,r3_pcrs_p1,F5,60
r3_oligos_combined,A12,r3_pcrs_p1,F5,60
template_plate,A8,r3_pcrs_p1,F5,60
r3_oligos_combined,A01,r3_pcrs_p1,H5,60
r3_oligos_combined,C02,r3_pcrs_p1,H5,60
template_plate,A8,r3_pcrs_p1,H5,60
r3_oligos_combined,A01,r3_pcrs_p1,F6,60
r3_oligos_combined,C04,r3_pcrs_p1,F6,60
template_plate,A8,r3_pcrs_p1,F6,60
r3_oligos_combined,C05,r3_pcrs_p1,H6,60
r3_oligos_combined,A12,r3_pcrs_p1,H6,60
template_plate,A8,r3_pcrs_p1,H6,60
r3_oligos_combined,A01,r3_pcrs_p1,F7,60
r3_oligos_combined,C04,r3_pcrs_p1,F7,60
template_plate,A8,r3_pcrs_p1,F7,60
r3_oligos_combined,C07,r3_pcrs_p1,H7,60
r3_oligos_combined,A12,r3_pcrs_p1,H7,60
template_plate,A8,r3_pcrs_p1,H7,60
r3_oligos_combined,A01,r3_pcrs_p1,F8,60
r3_oligos_combined,C04,r3_pcrs_p1,F8,60
template_plate,A8,r3_pcrs_p1,F8,60
r3_oligos_combined,C09,r3_pcrs_p1,H8,60
r3_oligos_combined,A12,r3_pcrs_p1,H8,60
template_plate,A8,r3_pcrs_p1,H8,60
r3_oligos_combined,A01,r3_pcrs_p1,F9,60
r3_oligos_combined,C04,r3_pcrs_p1,F9,60
template_plate,A8,r3_pcrs_p1,F9,60
r3_oligos_combined,C11,r3_pcrs_p1,H9,60
r3_oligos_combined,A12,r3_pcrs_p1,H9,60
template_plate,A8,r3_pcrs_p1,H9,60
r3_oligos_combined,A01,r3_pcrs_p1,F10,60
r3_oligos_combined,C06,r3_pcrs_p1,F10,60
template_plate,A8,r3_pcrs_p1,F10,60
r3_oligos_combined,C13,r3_pcrs_p1,H10,60
r3_oligos_combined,A12,r3_pcrs_p1,H10,60
template_plate,A8,r3_pcrs_p1,H10,60
r3_oligos_combined,A01,r3_pcrs_p1,F11,60
r3_oligos_combined,C06,r3_pcrs_p1,F11,60
template_plate,A8,r3_pcrs_p1,F11,60
r3_oligos_combined,C15,r3_pcrs_p1,H11,60
r3_oligos_combined,A12,r3_pcrs_p1,H11,60
template_plate,A8,r3_pcrs_p1,H11,60
r3_oligos_combined,A01,r3_pcrs_p1,F12,60
r3_oligos_combined,C08,r3_pcrs_p1,F12,60
template_plate,A8,r3_pcrs_p1,F12,60
r3_oligos_combined,C17,r3_pcrs_p1,H12,60
r3_oligos_combined,A12,r3_pcrs_p1,H12,60
template_plate,A8,r3_pcrs_p1,H12,60
r3_oligos_combined,G13,r3_pcrs_p2,A1,60
r3_oligos_combined,C24,r3_pcrs_p2,A1,60
template_plate,A3,r3_pcrs_p2,A1,60
r3_oligos_combined,G15,r3_pcrs_p2,C1,60
r3_oligos_combined,E02,r3_pcrs_p2,C1,60
template_plate,A1,r3_pcrs_p2,C1,60
r3_oligos_combined,G13,r3_pcrs_p2,A2,60
r3_oligos_combined,C24,r3_pcrs_p2,A2,60
template_plate,A3,r3_pcrs_p2,A2,60
r3_oligos_combined,G15,r3_pcrs_p2,C2,60
r3_oligos_combined,E02,r3_pcrs_p2,C2,60
template_plate,A3,r3_pcrs_p2,C2,60
r3_oligos_combined,G13,r3_pcrs_p2,A3,60
r3_oligos_combined,E04,r3_pcrs_p2,A3,60
template_plate,A1,r3_pcrs_p2,A3,60
r3_oligos_combined,G17,r3_pcrs_p2,C3,60
r3_oligos_combined,E02,r3_pcrs_p2,C3,60
template_plate,A1,r3_pcrs_p2,C3,60
r3_oligos_combined,G13,r3_pcrs_p2,A4,60
r3_oligos_combined,E06,r3_pcrs_p2,A4,60
template_plate,A3,r3_pcrs_p2,A4,60
r3_oligos_combined,G19,r3_pcrs_p2,C4,60
r3_oligos_combined,E02,r3_pcrs_p2,C4,60
template_plate,A1,r3_pcrs_p2,C4,60
r3_oligos_combined,G13,r3_pcrs_p2,A5,60
r3_oligos_combined,E06,r3_pcrs_p2,A5,60
template_plate,A3,r3_pcrs_p2,A5,60
r3_oligos_combined,G19,r3_pcrs_p2,C5,60
r3_oligos_combined,E02,r3_pcrs_p2,C5,60
template_plate,A3,r3_pcrs_p2,C5,60
r3_oligos_combined,G13,r3_pcrs_p2,A6,60
r3_oligos_combined,E08,r3_pcrs_p2,A6,60
template_plate,A1,r3_pcrs_p2,A6,60
r3_oligos_combined,G21,r3_pcrs_p2,C6,60
r3_oligos_combined,E02,r3_pcrs_p2,C6,60
template_plate,A1,r3_pcrs_p2,C6,60
r3_oligos_combined,G13,r3_pcrs_p2,A7,60
r3_oligos_combined,E10,r3_pcrs_p2,A7,60
template_plate,A1,r3_pcrs_p2,A7,60
r3_oligos_combined,G23,r3_pcrs_p2,C7,60
r3_oligos_combined,E02,r3_pcrs_p2,C7,60
template_plate,A1,r3_pcrs_p2,C7,60
r3_oligos_combined,G13,r3_pcrs_p2,A8,60
r3_oligos_combined,E12,r3_pcrs_p2,A8,60
template_plate,A3,r3_pcrs_p2,A8,60
r3_oligos_combined,I01,r3_pcrs_p2,C8,60
r3_oligos_combined,E02,r3_pcrs_p2,C8,60
template_plate,A1,r3_pcrs_p2,C8,60
r3_oligos_combined,G13,r3_pcrs_p2,A9,60
r3_oligos_combined,E12,r3_pcrs_p2,A9,60
template_plate,A3,r3_pcrs_p2,A9,60
r3_oligos_combined,I01,r3_pcrs_p2,C9,60
r3_oligos_combined,E02,r3_pcrs_p2,C9,60
template_plate,A3,r3_pcrs_p2,C9,60
r3_oligos_combined,G13,r3_pcrs_p2,A10,60
r3_oligos_combined,E14,r3_pcrs_p2,A10,60
template_plate,A3,r3_pcrs_p2,A10,60
r3_oligos_combined,I03,r3_pcrs_p2,C10,60
r3_oligos_combined,E02,r3_pcrs_p2,C10,60
template_plate,A3,r3_pcrs_p2,C10,60
r3_oligos_combined,G13,r3_pcrs_p2,A11,60
r3_oligos_combined,E16,r3_pcrs_p2,A11,60
template_plate,A3,r3_pcrs_p2,A11,60
r3_oligos_combined,I05,r3_pcrs_p2,C11,60
r3_oligos_combined,E02,r3_pcrs_p2,C11,60
template_plate,A1,r3_pcrs_p2,C11,60
r3_oligos_combined,G13,r3_pcrs_p2,A12,60
r3_oligos_combined,E16,r3_pcrs_p2,A12,60
template_plate,A3,r3_pcrs_p2,A12,60
r3_oligos_combined,I05,r3_pcrs_p2,C12,60
r3_oligos_combined,E02,r3_pcrs_p2,C12,60
template_plate,A2,r3_pcrs_p2,C12,60
r3_oligos_combined,G13,r3_pcrs_p2,B1,60
r3_oligos_combined,E16,r3_pcrs_p2,B1,60
template_plate,A3,r3_pcrs_p2,B1,60
r3_oligos_combined,I05,r3_pcrs_p2,D1,60
r3_oligos_combined,E02,r3_pcrs_p2,D1,60
template_plate,A3,r3_pcrs_p2,D1,60
r3_oligos_combined,G13,r3_pcrs_p2,B2,60
r3_oligos_combined,E16,r3_pcrs_p2,B2,60
template_plate,A3,r3_pcrs_p2,B2,60
r3_oligos_combined,I07,r3_pcrs_p2,D2,60
r3_oligos_combined,E02,r3_pcrs_p2,D2,60
template_plate,A1,r3_pcrs_p2,D2,60
r3_oligos_combined,G13,r3_pcrs_p2,B3,60
r3_oligos_combined,E16,r3_pcrs_p2,B3,60
template_plate,A3,r3_pcrs_p2,B3,60
r3_oligos_combined,I07,r3_pcrs_p2,D3,60
r3_oligos_combined,E02,r3_pcrs_p2,D3,60
template_plate,A2,r3_pcrs_p2,D3,60
r3_oligos_combined,G13,r3_pcrs_p2,B4,60
r3_oligos_combined,E16,r3_pcrs_p2,B4,60
template_plate,A3,r3_pcrs_p2,B4,60
r3_oligos_combined,I07,r3_pcrs_p2,D4,60
r3_oligos_combined,E02,r3_pcrs_p2,D4,60
template_plate,A3,r3_pcrs_p2,D4,60
r3_oligos_combined,G13,r3_pcrs_p2,B5,60
r3_oligos_combined,E18,r3_pcrs_p2,B5,60
template_plate,A1,r3_pcrs_p2,B5,60
r3_oligos_combined,I09,r3_pcrs_p2,D5,60
r3_oligos_combined,E02,r3_pcrs_p2,D5,60
template_plate,A1,r3_pcrs_p2,D5,60
r3_oligos_combined,G13,r3_pcrs_p2,B6,60
r3_oligos_combined,E20,r3_pcrs_p2,B6,60
template_plate,A1,r3_pcrs_p2,B6,60
r3_oligos_combined,I11,r3_pcrs_p2,D6,60
r3_oligos_combined,E02,r3_pcrs_p2,D6,60
template_plate,A1,r3_pcrs_p2,D6,60
r3_oligos_combined,G13,r3_pcrs_p2,B7,60
r3_oligos_combined,E22,r3_pcrs_p2,B7,60
template_plate,A1,r3_pcrs_p2,B7,60
r3_oligos_combined,I13,r3_pcrs_p2,D7,60
r3_oligos_combined,E02,r3_pcrs_p2,D7,60
template_plate,A1,r3_pcrs_p2,D7,60
r3_oligos_combined,G13,r3_pcrs_p2,B8,60
r3_oligos_combined,E24,r3_pcrs_p2,B8,60
template_plate,A1,r3_pcrs_p2,B8,60
r3_oligos_combined,I15,r3_pcrs_p2,D8,60
r3_oligos_combined,E02,r3_pcrs_p2,D8,60
template_plate,A1,r3_pcrs_p2,D8,60
r3_oligos_combined,G13,r3_pcrs_p2,B9,60
r3_oligos_combined,C02,r3_pcrs_p2,B9,60
template_plate,A3,r3_pcrs_p2,B9,60
r3_oligos_combined,I17,r3_pcrs_p2,D9,60
r3_oligos_combined,E02,r3_pcrs_p2,D9,60
template_plate,A3,r3_pcrs_p2,D9,60
r3_oligos_combined,G13,r3_pcrs_p2,B10,60
r3_oligos_combined,E18,r3_pcrs_p2,B10,60
template_plate,A3,r3_pcrs_p2,B10,60
r3_oligos_combined,I19,r3_pcrs_p2,D10,60
r3_oligos_combined,E02,r3_pcrs_p2,D10,60
template_plate,A3,r3_pcrs_p2,D10,60
r3_oligos_combined,G13,r3_pcrs_p2,B11,60
r3_oligos_combined,E20,r3_pcrs_p2,B11,60
template_plate,A3,r3_pcrs_p2,B11,60
r3_oligos_combined,I11,r3_pcrs_p2,D11,60
r3_oligos_combined,E02,r3_pcrs_p2,D11,60
template_plate,A2,r3_pcrs_p2,D11,60
r3_oligos_combined,G13,r3_pcrs_p2,B12,60
r3_oligos_combined,E20,r3_pcrs_p2,B12,60
template_plate,A3,r3_pcrs_p2,B12,60
r3_oligos_combined,I11,r3_pcrs_p2,D12,60
r3_oligos_combined,E02,r3_pcrs_p2,D12,60
template_plate,A3,r3_pcrs_p2,D12,60
random_oligo_plate,A7,r3_pcrs_p2,E1,60
random_oligo_plate,M1,r3_pcrs_p2,E1,60
template_plate,A9,r3_pcrs_p2,E1,60
random_oligo_plate,E21,r3_pcrs_p2,G1,60
random_oligo_plate,M13,r3_pcrs_p2,G1,60
template_plate,A9,r3_pcrs_p2,G1,60
random_oligo_plate,A7,r3_pcrs_p2,E2,60
random_oligo_plate,G9,r3_pcrs_p2,E2,60
template_plate,A9,r3_pcrs_p2,E2,60
random_oligo_plate,C13,r3_pcrs_p2,G2,60
random_oligo_plate,M13,r3_pcrs_p2,G2,60
template_plate,A9,r3_pcrs_p2,G2,60
random_oligo_plate,A7,r3_pcrs_p2,E3,60
random_oligo_plate,I23,r3_pcrs_p2,E3,60
template_plate,A9,r3_pcrs_p2,E3,60
random_oligo_plate,C15,r3_pcrs_p2,G3,60
random_oligo_plate,M13,r3_pcrs_p2,G3,60
template_plate,A9,r3_pcrs_p2,G3,60
random_oligo_plate,A7,r3_pcrs_p2,E4,60
random_oligo_plate,I21,r3_pcrs_p2,E4,60
template_plate,A9,r3_pcrs_p2,E4,60
random_oligo_plate,C7,r3_pcrs_p2,G4,60
random_oligo_plate,M13,r3_pcrs_p2,G4,60
template_plate,A9,r3_pcrs_p2,G4,60
random_oligo_plate,A7,r3_pcrs_p2,E5,60
random_oligo_plate,I3,r3_pcrs_p2,E5,60
template_plate,A9,r3_pcrs_p2,E5,60
random_oligo_plate,E23,r3_pcrs_p2,G5,60
random_oligo_plate,M13,r3_pcrs_p2,G5,60
template_plate,A9,r3_pcrs_p2,G5,60
random_oligo_plate,A7,r3_pcrs_p2,E6,60
random_oligo_plate,K3,r3_pcrs_p2,E6,60
template_plate,A9,r3_pcrs_p2,E6,60
random_oligo_plate,C17,r3_pcrs_p2,G6,60
random_oligo_plate,M13,r3_pcrs_p2,G6,60
template_plate,A9,r3_pcrs_p2,G6,60
random_oligo_plate,A7,r3_pcrs_p2,E7,60
random_oligo_plate,K23,r3_pcrs_p2,E7,60
template_plate,A9,r3_pcrs_p2,E7,60
random_oligo_plate,C19,r3_pcrs_p2,G7,60
random_oligo_plate,M13,r3_pcrs_p2,G7,60
template_plate,A9,r3_pcrs_p2,G7,60
random_oligo_plate,A7,r3_pcrs_p2,E8,60
random_oligo_plate,I11,r3_pcrs_p2,E8,60
template_plate,A9,r3_pcrs_p2,E8,60
random_oligo_plate,C21,r3_pcrs_p2,G8,60
random_oligo_plate,M13,r3_pcrs_p2,G8,60
template_plate,A9,r3_pcrs_p2,G8,60
random_oligo_plate,A7,r3_pcrs_p2,E9,60
random_oligo_plate,K17,r3_pcrs_p2,E9,60
template_plate,A9,r3_pcrs_p2,E9,60
random_oligo_plate,C23,r3_pcrs_p2,G9,60
random_oligo_plate,M13,r3_pcrs_p2,G9,60
template_plate,A9,r3_pcrs_p2,G9,60
random_oligo_plate,A7,r3_pcrs_p2,E10,60
random_oligo_plate,G11,r3_pcrs_p2,E10,60
template_plate,A9,r3_pcrs_p2,E10,60
random_oligo_plate,G1,r3_pcrs_p2,G10,60
random_oligo_plate,M13,r3_pcrs_p2,G10,60
template_plate,A9,r3_pcrs_p2,G10,60
random_oligo_plate,A7,r3_pcrs_p2,E11,60
random_oligo_plate,K5,r3_pcrs_p2,E11,60
template_plate,A9,r3_pcrs_p2,E11,60
random_oligo_plate,C9,r3_pcrs_p2,G11,60
random_oligo_plate,M13,r3_pcrs_p2,G11,60
template_plate,A9,r3_pcrs_p2,G11,60
random_oligo_plate,A7,r3_pcrs_p2,E12,60
random_oligo_plate,K15,r3_pcrs_p2,E12,60
template_plate,A9,r3_pcrs_p2,E12,60
random_oligo_plate,E1,r3_pcrs_p2,G12,60
random_oligo_plate,M13,r3_pcrs_p2,G12,60
template_plate,A9,r3_pcrs_p2,G12,60
random_oligo_plate,A7,r3_pcrs_p2,F1,60
random_oligo_plate,M3,r3_pcrs_p2,F1,60
template_plate,A9,r3_pcrs_p2,F1,60
random_oligo_plate,C11,r3_pcrs_p2,H1,60
random_oligo_plate,M13,r3_pcrs_p2,H1,60
template_plate,A9,r3_pcrs_p2,H1,60
random_oligo_plate,A7,r3_pcrs_p2,F2,60
random_oligo_plate,I9,r3_pcrs_p2,F2,60
template_plate,A9,r3_pcrs_p2,F2,60
